"report.date","worksite","location","potential.exposure.dates","start","end","standard.report.date"
"12-01","Walker Hall","Davis campus","11/29/2021","2021-11-29","2021-11-29","2021-12-01"
"12-01","Hart Hall","Davis campus","11/29/2021","2021-11-29","2021-11-29","2021-12-01"
"12-01","Yosemite Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-01"
"12-01","Olson Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-01"
"12-01","Sciences Lab Building","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-01"
"12-01","Rock Hall","Davis campus","12/01/2021","2021-12-01","2021-12-01","2021-12-01"
"12-01","Wellman Hall","Davis campus","11/29/2021
 - 11/30/2021","2021-11-29","2021-11-30","2021-12-01"
"12-01","Cuarto Dining Commons","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-01"
"12-01","Vet Med Teaching Hospital","Davis campus","12/01/2021","2021-12-01","2021-12-01","2021-12-01"
"12-02","Mondavi Center","Davis campus","11/26/2021","2021-11-26","2021-11-26","2021-12-02"
"12-02","Shields Library","Davis campus","11/28/2021","2021-11-28","2021-11-28","2021-12-02"
"12-02","Young Hall","Davis campus","11/30/2021
 - 12/01/2021","2021-11-30","2021-12-01","2021-12-02"
"12-02","Mondavi Center","Davis campus","11/29/2021","2021-11-29","2021-11-29","2021-12-02"
"12-02","Segundo Dining Commons","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-02"
"12-02","Wellman Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-02"
"12-02","Kleiber Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-02"
"12-02","The Grove - Academic Surge 3","Davis campus","12/02/2021","2021-12-02","2021-12-02","2021-12-02"
"12-03","Mondavi Center","Davis campus","11/29/2021","2021-11-29","2021-11-29","2021-12-03"
"12-03","Hunt Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-03"
"12-03","Vet Med 3A","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-03"
"12-03","Wellman Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-03"
"12-03","Mondavi Center","Davis campus","11/24/2021","2021-11-24","2021-11-24","2021-12-03"
"12-03","Kleiber Hall","Davis campus","11/25/2021","2021-11-25","2021-11-25","2021-12-03"
"12-03","Hunt Hall","Davis campus","12/02/2021","2021-12-02","2021-12-02","2021-12-03"
"12-03","Academic Surge","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-03"
"12-03","Segundo Dining Commons","Davis campus","11/29/2021
 - 12/01/2021","2021-11-29","2021-12-01","2021-12-03"
"12-03","Mondavi Center","Davis campus","11/26/2021","2021-11-26","2021-11-26","2021-12-03"
"12-03","Kleiber Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-03"
"12-03","Bainer Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-03"
"12-03","Shields Library","Davis campus","11/28/2021
 - 11/29/2021","2021-11-28","2021-11-29","2021-12-03"
"12-03","Malcom Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-03"
"12-06","Hunt Hall","Davis campus","12/03/2021","2021-12-03","2021-12-03","2021-12-06"
"12-06","Shields Library","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-06"
"12-06","Olson Hall","Davis campus","12/01/2021","2021-12-01","2021-12-01","2021-12-06"
"12-06","Young Hall","Davis campus","11/30/2021","2021-11-30","2021-11-30","2021-12-06"
"12-06","Social Sciences Lecture Hall","Davis campus","12/03/2021","2021-12-03","2021-12-03","2021-12-06"
